PM,global_season_score,count
1999SEA,0.0,16
2002NJN,0.6521739130434783,16
2001POR,0.0,16
2011SAC,0.0,16
2006CHA,0.0,16
2012ATL,0.0,16
2012CHA,0.0,16
2002MIN,0.0,16
2012DAL,0.0,16
2008PHO,0.0,16
2002LAC,0.0,16
2012MIA,0.9565217391304348,16
2006DAL,0.5217391304347826,16
2008ORL,0.30434782608695654,16
2012OKC,0.6086956521739131,16
2012ORL,0.0,16
2012PHI,0.08695652173913043,16
2008NOH,0.34782608695652173,16
2002BOS,0.391304347826087,16
1999POR,0.43478260869565216,16
1999TOR,0.0,16
2008MIN,0.0,16
2006IND,0.0,16
2013DET,0.0,16
2005WAS,0.21739130434782608,16
2002SEA,0.0,16
2011LAL,0.34782608695652173,16
2010MIN,0.0,16
2005CLE,0.0,16
1999LAC,0.0,16
2004NOH,0.0,16
2004MIL,0.0,16
2004MEM,0.0,16
2005DAL,0.2608695652173913,16
2005LAL,0.0,16
2003WAS,0.0,16
2009LAL,1.0,16
2010NOH,0.0,16
2005TOR,0.0,16
2003PHI,0.2608695652173913,16
2010PHI,0.0,16
2003NOH,0.0,16
2003MIL,0.0,16
2009DAL,0.17391304347826086,16
1999HOU,0.0,16
2009CLE,0.4782608695652174,16
2009BOS,0.34782608695652173,16
2003GSW,0.0,16
2013IND,0.0,16
2013GSW,0.17391304347826086,16
2001PHO,0.0,16
2007DAL,0.0,16
2013LAL,0.0,16
2000TOR,0.0,16
2007BOS,0.0,16
2007WAS,0.0,16
2000NYK,0.391304347826087,16
2016BOS,0.0,16
2016CHI,0.0,16
2016DAL,0.0,16
2016GSW,0.6521739130434783,16
2016IND,0.0,16
1999SAC,0.0,16
2000MIA,0.34782608695652173,16
1999BOS,0.0,16
2016MIN,0.0,16
2016NYK,0.0,16
2007SEA,0.0,16
2016POR,0.21739130434782608,16
2007SAS,0.0,16
2016TOR,0.43478260869565216,16
2007MIA,0.0,16
2000WAS,0.0,16
2015IND,0.0,16
2009ORL,0.5652173913043478,16
2006SAC,0.0,16
2001ORL,0.0,16
2008IND,0.0,16
2015ATL,0.4782608695652174,16
2014DEN,0.0,16
2013SAS,0.0,16
2001MIA,0.0,16
2014ORL,0.0,16
2006MEM,0.0,16
1999DEN,0.0,16
2013PHO,0.0,16
2013OKC,0.391304347826087,16
2008ATL,0.0,16
2001CHI,0.0,16
2001CHH,0.17391304347826086,16
2001NYK,0.0,16
2007HOU,0.0,15
2005CHI,0.0,15
2006ATL,0.0,15
2005MEM,0.0,15
2006MIL,0.0,15
2007DET,0.4782608695652174,15
1997WSB,0.0,15
2006SAS,0.0,15
2006UTA,0.0,15
2007CLE,0.6086956521739131,15
2005SEA,0.30434782608695654,15
2006WAS,0.0,15
2006GSW,0.0,15
2017BOS,0.4782608695652174,15
1997UTA,0.6521739130434783,15
2005BOS,0.0,15
1997LAC,0.0,15
2001MIN,0.0,15
2001MIL,0.43478260869565216,15
2001LAL,0.9565217391304348,15
2001LAC,0.0,15
2001IND,0.0,15
2001HOU,0.0,15
2000VAN,0.0,15
2000SEA,0.0,15
2000SAS,0.0,15
1997CHI,1.0,15
2000NJN,0.0,15
2000MIL,0.0,15
2000LAL,1.0,15
2000DET,0.0,15
2000BOS,0.0,15
1999WAS,0.0,15
2001SAS,0.0,15
2001VAN,0.0,15
2002CHH,0.2608695652173913,15
2003HOU,0.0,15
2004IND,0.0,15
2004DEN,0.0,15
2003SAS,0.0,15
2003POR,0.0,15
2003NJN,0.6086956521739131,15
2003LAC,0.0,15
2003IND,0.0,15
2003DET,0.4782608695652174,15
2002CLE,0.0,15
2003CHI,0.0,15
2002SAS,0.0,15
2002POR,0.0,15
2007NOK,0.0,15
2002LAL,0.9130434782608695,15
2002GSW,0.0,15
2002DET,0.34782608695652173,15
2007NJN,0.17391304347826086,15
2007ORL,0.0,15
2007NYK,0.0,15
2009POR,0.0,15
2013DEN,0.0,15
2013CHI,0.21739130434782608,15
2012UTA,0.0,15
2012SAC,0.0,15
2018WAS,0.0,15
2012MIN,0.0,15
2012IND,0.0,15
2011PHI,0.0,15
2011IND,0.0,15
2011CHI,0.4782608695652174,15
2010UTA,0.21739130434782608,15
2010TOR,0.0,15
2010PHO,0.391304347826087,15
2010MIA,0.0,15
2010IND,0.0,15
2013LAC,0.0,15
1998SAS,0.0,15
2013POR,0.0,15
1999CHI,0.0,15
2016SAC,0.0,15
2017DET,0.0,15
2017LAC,0.0,15
2016LAL,0.0,15
2017MIA,0.0,15
2015TOR,0.0,15
2015ORL,0.0,15
2014DAL,0.0,15
2017POR,0.0,15
2015GSW,1.0,15
2017UTA,0.21739130434782608,15
2014POR,0.21739130434782608,15
2014PHO,0.0,15
2014DET,0.0,15
2009UTA,0.0,15
1998PHO,0.0,15
1998LAC,0.0,15
2008BOS,1.0,15
2008PHI,0.0,15
2008UTA,0.2608695652173913,15
2007SAC,0.0,15
2008CHA,0.0,15
2009ATL,0.2608695652173913,15
2009DET,0.0,15
2009MEM,0.0,15
2007UTA,0.34782608695652173,15
